IncidentId,SourceName,CreateDate,Title,ModifiedDate,RaisingEnvironment,OwningTeamName,OwningTenantName,OwningContactAlias,ParentIncidentId,Severity,Status,ResolveDate,CommitDate,ResolvedBy,LastCorrelationDate,Keywords,MitigateDate,ImpactStartDate,MitigatedBy,IncidentType,HowFixed,MinAckDate,MaxAckDate,AckBy
18673482,ICMPortal,2016-05-20T18:14:07.3930000,Community Services are returning a 500 response in the GetChannels API,2016-05-20T18:50:59.7470000,PROD,BEIHAISERVICES\Triage,BeihaiServices,hesilva,null,1,RESOLVED,2016-05-20T18:50:59.7470000,null,hesilva,null,,5/20/2016 6:25:23 PM,5/20/2016 6:08:06 PM,hesilva,LiveSite,Fixed with Hotfix,2016-05-20T18:37:04.4000000,2016-05-20T18:37:04.4000000,hesilva
18930494,BeihaiTriageXpertIcMConnector,2016-05-30T14:18:57.5270000,Xpert Alert: [Environment=PROD;ModernClient=Realtime;VEFProvider=Beihai.Svc;VEFProvider=PPE;VEFTopic=Spotlight;] - [BeihaiSvcPPE - SpotlightFailures],2016-06-09T18:53:27.0870000,null,BEIHAISERVICES\Triage,BeihaiServices,null,null,1,RESOLVED,2016-06-09T18:53:27.0870000,null,a-antet,2016-05-30T14:32:36.7030000,null,6/9/2016 6:52:56 PM,5/30/2016 12:44:00 PM,a-antet,LiveSite,Other,null,null,null
19144239,ICMPortal,2016-06-06T17:56:38.5100000,Beihai Community - Win10 Client - Upload - Upload attempts failing,2016-06-08T21:50:29.2000000,PROD,BEIHAISERVICES\Triage,BeihaiServices,drpowe,null,3,RESOLVED,2016-06-08T21:50:29.2000000,null,a-antet,null,beihai community win10 client upload failure 401,6/6/2016 7:29:46 PM,6/6/2016 5:46:52 PM,v-cochu,CustomerReported,Customer Error,2016-06-06T18:33:21.4230000,2016-06-06T18:33:21.4230000,drpowe
19199615,ICMPortal,2016-06-08T21:00:20.7700000,My Collection returns an error,2016-08-03T22:43:30.4830000,PROD,BEIHAISERVICES\Triage,BeihaiServices,a-antet,null,3,RESOLVED,6/9/2016 1:05:41 AM,null,a-somahi,null,"My Collection, MSA Account",6/9/2016 1:02:52 AM,6/8/2016 8:33:14 PM,a-somahi,CustomerReported,Other,2016-06-08T21:11:36.1170000,2016-06-08T21:11:36.1170000,a-antet
19199640,BeihaiTriageXpertIcMConnector,2016-06-08T21:01:25.4970000,Xpert Alert: [Environment=PROD;ModernClient=Realtime;VEFProvider=Beihai.Svc;VEFProvider=PPE;VEFTopic=CreateBoard;] - [BeihaiSvcPPE - CreateBoardFailure],2016-06-08T21:45:07.1930000,null,BEIHAISERVICES\Triage,BeihaiServices,a-somahi,null,1,RESOLVED,2016-06-08T21:45:07.1930000,null,a-antet,null,null,2016-06-08T21:44:04.9200000,6/8/2016 8:52:00 PM,a-antet,LiveSite,By Design,2016-06-08T21:08:17.5100000,2016-06-08T21:08:17.5100000,a-somahi
19199662,BeihaiTriageXpertIcMConnector,2016-06-08T21:03:12.5930000,Xpert Alert: [Environment=PROD;ModernClient=Realtime;VEFProvider=Beihai.Svc;VEFProvider=PPE;VEFTopic=Channels;] - [BeihaiSvcPPE ChannelFailures],2016-06-08T21:45:07.0900000,null,BEIHAISERVICES\Triage,BeihaiServices,a-somahi,null,1,RESOLVED,2016-06-08T21:45:07.0900000,null,a-antet,null,null,2016-06-08T21:44:04.9200000,6/8/2016 8:52:00 PM,a-antet,LiveSite,By Design,2016-06-08T21:08:24.0830000,2016-06-08T21:08:24.0830000,a-somahi
19201384,BeihaiTriageXpertIcMConnector,2016-06-08T22:11:24.9000000,Xpert Alert: [Environment=PROD;ModernClient=Realtime;VEFProvider=Beihai.Svc;VEFProvider=PPE;VEFTopic=CreateBoard;] - [BeihaiSvcPPE - CreateBoardFailure],2016-06-08T22:23:10.2830000,null,BEIHAISERVICES\Triage,BeihaiServices,a-somahi,null,1,RESOLVED,2016-06-08T22:23:10.2830000,null,a-somahi,null,null,6/8/2016 10:21:18 PM,6/8/2016 10:02:00 PM,a-somahi,LiveSite,,2016-06-08T22:20:12.4530000,2016-06-08T22:20:12.4530000,a-somahi
19203120,BeihaiTriageXpertIcMConnector,2016-06-08T23:11:25.4970000,Xpert Alert: [Environment=PROD;ModernClient=Realtime;VEFProvider=Beihai.Svc;VEFProvider=PPE;VEFTopic=CreateBoard;] - [BeihaiSvcPPE - CreateBoardFailure],2016-06-09T18:52:29.5530000,null,BEIHAISERVICES\Triage,BeihaiServices,null,null,1,RESOLVED,2016-06-09T18:52:29.5530000,null,a-antet,2016-06-09T17:06:14.7870000,null,6/9/2016 6:51:46 PM,6/8/2016 11:02:00 PM,a-antet,LiveSite,By Design,null,null,null
19233637,ICMPortal,2016-06-09T23:38:38.2570000,No Delete feature available for new uploaded models in Project Denali Web - projectdenali.microsoft.com,2016-08-03T22:42:34.8330000,PROD,BEIHAISERVICES\Triage,BeihaiServices,null,null,3,RESOLVED,7/7/2016 12:51:25 AM,null,a-somahi,null,,6/11/2016 2:27:18 AM,6/9/2016 11:11:32 PM,a-somahi,CustomerReported,Unable To Reproduce,null,null,null
19318789,BeihaiTriageXpertIcMConnector,2016-06-14T00:28:12.4430000,Xpert Alert: [Environment=PROD;ModernClient=Realtime;VEFProvider=Beihai.Svc;VEFProvider=PPE;VEFTopic=Channels;] - [BeihaiSvcPPE ChannelFailures],2016-06-14T01:31:36.3830000,null,BEIHAISERVICES\Triage,BeihaiServices,a-olbars,null,1,RESOLVED,2016-06-14T01:31:36.3830000,null,a-olbars,null,null,6/14/2016 1:31:10 AM,6/14/2016 12:19:00 AM,a-olbars,LiveSite,False Alarm/Transient,2016-06-14T00:45:19.7000000,2016-06-14T00:45:19.7000000,a-olbars
