"Week","Position","Value"
"5/28","0","3"
"5/28","1","3"
"6/4","0","11"
"6/4","1","4"
"6/11","0","2"
"6/11","1","0"
"6/18","0","2"
"6/18","1","2"
"6/25","0","2"
"6/25","1","1"
"7/2","0","25"
"7/2","1","13"
"7/9","0","7"
"7/9","1","2"
"7/16","0","4"
"7/16","1","3"
"7/23","0","3"
"7/23","1","3"
"7/30","0","1"
"7/30","1","1"
"5/28","0","3"
"5/28","1","3"
"6/4","0","11"
"6/4","1","4"
"6/11","0","2"
"6/11","1","0"
"6/18","0","2"
"6/18","1","2"
"6/25","0","2"
"6/25","1","1"
"7/2","0","25"
"7/2","1","13"
"7/9","0","7"
"7/9","1","2"
"7/16","0","4"
"7/16","1","3"
"7/23","0","3"
"7/23","1","3"
"7/30","0","1"
"7/30","1","1"
